"x","y","z","parcel"
-33.2973747253418,6.1054220199585,-30.5293121337891,"L_TP1_A"
-29.4817562103271,6.00634002685547,-31.4129943847656,"L_TP1_A"
-29.1126041412354,3.67851996421814,-29.993673324585,"L_TP1_A"
-27.2947578430176,6.90673923492432,-29.9286289215088,"L_TP1_A"
-27.5271987915039,3.92175006866455,-26.7767848968506,"L_TP1_A"
-31.3978252410889,3.4918520450592,-27.7492427825928,"L_TP1_A"
-28.8080711364746,3.53862690925598,-25.0639476776123,"L_TP1_A"
-33.4634170532227,4.45578908920288,-20.2596549987793,"L_TP1_A"
-32.1446533203125,3.68383407592773,-19.3521747589111,"L_TP1_A"
-32.8677978515625,4.97491312026978,-18.6821708679199,"L_TP1_A"
-37.6171455383301,4.87318706512451,-20.2160892486572,"L_TP1_A"
-33.6170425415039,6.00891780853271,-18.823356628418,"L_TP1_A"
-36.2404975891113,9.47076320648193,-27.6765727996826,"L_TP1_A"
-31.194149017334,9.26432418823242,-26.6987190246582,"L_TP1_A"
-34.4866142272949,8.5148401260376,-29.0025501251221,"L_TP1_A"
-36.0960807800293,5.77133703231812,-25.3986949920654,"L_TP1_A"
-35.5979270935059,5.69944000244141,-28.4211921691895,"L_TP1_A"
-36.5299835205078,3.88488101959229,-25.7462463378906,"L_TP1_A"
-30.0389652252197,7.03986692428589,-30.8245334625244,"L_TP1_A"
-28.852123260498,9.05828189849854,-27.0513858795166,"L_TP1_A"
-27.2220840454102,8.02144908905029,-29.281120300293,"L_TP1_A"
-25.3313961029053,8.16431903839111,-27.7150382995605,"L_TP1_A"
-25.6315116882324,5.86668586730957,-24.473669052124,"L_TP1_A"
-25.2821750640869,5.17324209213257,-25.969144821167,"L_TP1_A"
-27.2420139312744,7.62765121459961,-25.1078395843506,"L_TP1_A"
-29.8701038360596,7.08944797515869,-22.6299419403076,"L_TP1_A"
-36.0713195800781,7.28241300582886,-30.0026912689209,"L_TP1_A"
-33.7414512634277,4.01224279403687,-28.3758125305176,"L_TP1_A"
-25.9311695098877,3.52421593666077,-21.2607765197754,"L_TP1_A"
-26.8699569702148,4.01212596893311,-19.9609489440918,"L_TP1_A"
-29.0783710479736,3.76884698867798,-18.4989795684814,"L_TP1_A"
-27.1248779296875,5.12875986099243,-20.4025268554688,"L_TP1_A"
-29.5530071258545,5.00362110137939,-18.7150077819824,"L_TP1_A"
-26.4808712005615,5.99903011322021,-27.1033153533936,"L_TP1_A"
-24.6712970733643,7.01952314376831,-27.9700603485107,"L_TP1_A"
-36.403148651123,12.1088495254517,-24.3363475799561,"L_TP1_A"
-38.3659706115723,10.8750295639038,-23.2731533050537,"L_TP1_A"
-36.8769798278809,11.3820295333862,-22.8289203643799,"L_TP1_A"
-35.526782989502,8.58472919464111,-20.2016525268555,"L_TP1_A"
-32.9862480163574,9.65026569366455,-22.5523414611816,"L_TP1_A"
-34.3343124389648,3.82427310943604,-25.4387950897217,"L_TP1_A"
-30.7461338043213,4.47474813461304,-25.5340366363525,"L_TP1_A"
-25.1882171630859,3.97905397415161,-26.0863475799561,"L_TP1_A"
-32.4839096069336,10.7678165435791,-25.210807800293,"L_TP1_A"
-37.4952583312988,4.20989418029785,-23.649923324585,"L_TP1_A"
-23.2211761474609,3.8668839931488,-26.5218524932861,"L_TP1_A"
-22.3045902252197,5.35010099411011,-24.9307346343994,"L_TP1_A"
-21.2369003295898,3.91035103797913,-22.7007389068604,"L_TP1_A"
-38.372974395752,9.54556560516357,-25.6958026885986,"L_TP1_A"
-38.4158554077148,5.52044105529785,-23.9549808502197,"L_TP1_A"
-33.6390037536621,11.3732767105103,-23.4958248138428,"L_TP1_A"
